mcode_county,SSP126_2025,SSP126_2030,SSP126_2035,SSP126_2040,SSP126_2045,SSP126_2050,SSP126_2055,SSP126_2060
371002,17.983145352682183,13.762607962661336,12.175132072966544,10.593289577270655,8.709345200401756,7.35246499375084,6.295198035399759,5.438369499501378
371003,19.35450782465892,14.746803839030994,13.073647939103033,11.391073394172244,9.357290849462677,7.911287753984342,6.7838191428976184,5.844065480837997
371082,15.809073331675938,12.08339832236362,10.847861461457857,9.481917840273594,7.757063468400978,6.598535214635895,5.712065889069769,4.9267946173151005
371083,19.839531064801015,14.829733838779179,13.414472842845203,11.754619358882778,9.533794904287282,8.10259327223447,6.970940025062321,5.956050176589865
371102,32.63555544622326,24.483126281102905,21.88329057508826,19.216617169561705,15.729577612556568,13.27790146016912,11.238096379480075,9.411569174929483
371103,32.950532932407484,24.742339391278378,21.998332860636225,19.304218727354144,15.831375120299295,13.331065947721388,11.239264467529658,9.38297258631436
371121,35.78009178026351,26.49706531850172,24.025297805182458,21.158271703537736,17.157517675957457,14.538304593714132,12.327438743211088,10.333606182799496
371122,39.59958513704738,29.17335912558845,26.490717812032585,23.348970711207212,18.91528511259415,16.03111225640121,13.562417708444181,11.3471185152205
371302,43.959115642048694,33.07011980431888,29.239938608712013,25.68521897372903,21.258087313431815,17.92021673735029,14.960114142526159,12.489823505338778
371311,42.02183964895626,32.29670845675898,27.913192018216467,24.42829261314756,20.573046414392397,17.26424514594142,14.290233186286148,11.9523735005436
371312,41.59558719251545,30.960726970496633,27.94941909499555,24.68457491705248,20.24094341300746,17.157798221339913,14.44793295150415,12.083774701421245
371321,42.15761674155296,31.08345885509629,28.097089299139487,24.755803806469405,20.13013153665635,17.04867865571368,14.368295445752485,11.985275298372823
371322,35.81905837606434,26.859562200016732,24.103393418979554,21.357459947899947,17.667991110300868,14.971618728397347,12.625368390658783,10.482123823018389
371323,40.657106249709926,29.81537794776883,27.164997194220803,23.947451667654246,19.325401955290417,16.397192571125395,13.889831190566492,11.628261039980694
371324,40.71230311970027,30.979539989455823,27.147692943314652,23.853099067187177,19.926794284613734,16.77995586262121,13.978851139971466,11.638898684430766
371325,43.24701572819348,32.31720115512085,28.756378672369628,25.285713274631146,20.794705328639814,17.54460782765642,14.696637115841867,12.206162685306047
371326,45.01583337801674,33.43492787020051,30.01050447399333,26.434557757666973,21.602618841007864,18.26194903851576,15.365194923994578,12.762382331109057
371327,37.30883151052954,27.709233055401544,25.03688797440686,22.109876471308812,18.060756144659873,15.297086220358384,12.936505541122482,10.793960301052422
371328,46.15661615757768,34.22625541904655,30.769861459855917,27.069292150404753,22.037133649767263,18.634717992445054,15.706075703503672,13.095610378924048
371329,36.82314634550962,27.52430510477388,24.844417912864415,22.010337560021693,18.118574863711135,15.368176148379852,12.989119465578172,10.827201298757933
371402,53.60494287163898,37.885016522120594,37.16461495474243,32.96685372409057,25.09356035479945,21.48825706747412,18.458581227125382,15.82745802380916
371403,51.04928464492156,36.95526371453313,35.348932732509034,31.397790008453345,24.57969467706605,21.06678349187079,18.056980025627087,15.43963552407036
371422,51.37034593240855,36.175220120060594,35.869493632967206,31.911409424923264,24.187938933760982,20.795867520196875,17.945149526167626,15.480672626950453
371423,46.65335583128545,33.381359390388816,32.86354137731537,29.28585927248103,22.441853461289547,19.352896447107195,16.76101388647285,14.612779906190521
371424,50.23824472839297,37.758961936370156,34.52343052369275,30.53872122907473,24.82552178861957,21.16608397851456,17.940630048384804,15.255249413749956
371425,49.98365938334704,38.188352862509426,33.953688269404516,29.911006766731887,24.80157220586249,21.02563233657108,17.717626422523907,14.956937300568313
371426,51.910130600631206,38.03785235860578,35.85299340890693,31.848931307466067,25.29468033864074,21.668810175320473,18.546995489578944,15.780267490646612
371427,54.98863546258599,39.42454276128903,38.19185199397337,33.98604089805977,26.379308241111346,22.66262560763724,19.50301983510478,16.645429436687827
371428,54.71022611184525,38.622770655409724,37.991180382756646,33.76482817601715,25.73352353799545,22.087837016438407,19.018916832339272,16.275624752822758
371481,48.508272640698394,34.944521333386724,33.880786838511455,30.11534133400597,23.31753314822391,20.024841782081385,17.199723210940093,14.848937507125916
371482,51.112036612744184,38.3621477445552,35.0832543619324,31.067163938381885,25.280113972605086,21.566485375437423,18.337404787985424,15.539437360914608
371502,52.89339797454712,39.045884082374506,36.48815746102934,32.42641517786886,26.050582524659887,22.333614727628625,19.087755653378338,16.223084628550605
371503,52.12624490488919,38.73424434350038,35.977143170409015,31.94286609842198,25.75141939383975,22.039354238201803,18.83233383931681,15.988542290431413
371521,50.77919655372647,37.5743028519166,35.00821391950228,31.168240734757898,25.22170026179474,21.68060398146715,18.554409464721335,15.734564155867039
371522,53.30912628613047,38.013721124090914,36.774743984665676,32.75678025580377,25.602268679518154,22.104478063547326,19.052261536927737,16.258822291515095
371524,48.73893210000641,36.50073083373782,33.48132666658321,29.738343457430826,24.26740821471135,20.753557887648434,17.71461330057325,14.937437539061184
371525,56.78618105989163,39.8384348232786,39.38161446933136,35.047003994664976,26.709238781519275,23.004853244428304,19.82822969385873,16.985173770907817
371526,53.14446376517792,39.42799057103571,36.747923490092084,32.62280231418752,26.195021910789535,22.41962994617025,19.167505050070975,16.292561162579542
371581,56.527894520776776,39.958619794801734,39.27773515783629,34.94682118324987,26.746205858773443,23.004934835640242,19.821528244233416,16.967337870436687
371602,47.57142027528625,36.23249777694273,33.153732403772594,29.278570738316198,23.741903083773913,20.232595013452364,17.318087913730682,14.926590579015253
371603,34.79040227089369,25.74511384757229,24.319327559681323,21.567675484888746,17.074356152129756,14.655158576445674,12.668680878393804,10.960211171780706
371621,46.38827954537712,34.86922353042724,32.290258718560466,28.626390376754102,23.118575810729983,19.78445784396505,16.911782456180646,14.519011278220116
371622,45.14499528544589,33.23237329366271,31.589042468289623,28.094746568386263,22.232471106819457,19.12095597769208,16.45172476931795,14.220145206080813
371623,33.92708617047645,24.47655003514536,23.96534224885698,21.365215060924918,16.4809160528902,14.234162848137142,12.380132080116061,10.807453775451005
371625,52.91017799733267,41.032799564197745,36.41718423798861,31.897008339372068,26.23363050024932,22.108025673837567,18.786076394718325,16.1459965507741
371681,46.73532756496236,35.95828655270614,32.19832090737133,28.371042468776455,23.398034076833216,19.840215770713137,16.850197417447202,14.392199397289518
371702,45.89951059312035,33.8554571327398,31.184330920942166,27.783619776910548,22.842374577284325,19.746683430193453,16.906439569061757,14.308424191518071
371703,45.0604211340404,33.2936845917552,30.58071956234915,27.269161628331997,22.501671934550455,19.449959002109804,16.64809784413729,14.055128993918867
371721,42.314648193433165,31.128580317527994,28.541379979749937,25.45641822231861,21.073036645747894,18.26747831045668,15.69068326649888,13.240232134167957
371722,41.13064003392065,30.41699612898119,27.88790467053619,24.928153623431694,20.64523120387462,17.8163809088843,15.29069177391845,12.811496357850583
371723,44.05034423207584,32.61048588553518,29.941209020973897,26.747952995398272,22.11201041139968,19.092259979003103,16.350357927312594,13.761636597767264
371724,44.765654210887575,33.438698320623956,30.608064148706962,27.297630218714886,22.546779443649392,19.39355739060493,16.55217032679467,13.957371412662619
371725,47.346489473473554,35.26241790073866,32.50748063610028,28.96793192431045,23.74649171062365,20.43542695762686,17.458975548946693,14.776309855565637
371726,47.832496288377946,35.135043500318936,32.7170894704616,29.165037157372225,23.736590851039125,20.515814114996836,17.60760458622076,14.941684775891375
371728,43.91605677692205,32.03116996165496,29.759608332581706,26.490785781468425,21.6360349191509,18.803956791355183,16.236932752452486,13.783228027245775
410102,53.51845793434785,39.856489544418665,36.33994190940184,32.10875728228322,26.43189960739151,22.881496247013487,19.939092071368986,17.192559594324184
410103,53.55640403571194,40.30354433394458,36.251104003599245,32.005925067401904,26.66987543849096,23.059840081448424,20.052413705113818,17.334611720663226
410104,56.216399392526434,42.36812595088188,38.04826487866166,33.5829040195844,28.0111773177369,24.207390764396486,21.030628216634057,18.21992622140336
410105,55.45275068181472,41.55601526801813,37.618487369052545,33.22134057230783,27.52399719628751,23.797177154288452,20.683322898692037,17.915142571653952
410106,54.28712463945015,40.03413846917348,36.921732608586126,32.65920346839242,26.62892593706036,23.097859623443036,20.1960168522787,17.303176235826044
410108,54.0475534633181,40.295589796111116,36.711260175891574,32.430673109528584,26.709962214975693,23.10474089307095,20.106284617164597,17.37347213190829
410122,53.34792078957,39.602869271443716,36.09028003142587,31.958614073804267,26.450686505790234,22.993782755694536,20.039604874697847,17.217103594369803
