mcode_county,his_2015,his_2016,his_2017,his_2018,his_2019,his_2020
430781,46.42990867579911,39.02488584474885,39.627625570776225,43.939269406392704,44.374200913242014,37.02511415525115
430802,38.02963229992792,33.294664744051914,32.13503965392934,32.16690699351118,32.819466474405196,23.57476568132659
430811,40.040252897787134,35.31822971549,33.94499473129613,32.644889357218105,32.72581664910435,22.072708113804016
430821,40.479509132420105,34.84737442922374,33.99942922374427,34.68053652968041,34.72608447488582,26.885445205479442
430822,37.23168777461876,32.942775911088134,33.1271646420264,31.78097699663998,33.34194882398553,20.7410183509951
430902,53.13189823874757,47.874363992172256,46.124266144814094,45.5187866927593,49.50567514677106,38.665949119373785
430903,54.46360929124474,48.84764740917212,47.062894580107184,44.54532459797498,49.300774270399074,38.080166765932105
430921,50.934794520547925,44.4984109589041,44.26531506849314,46.07758904109589,47.71221917808221,36.98027397260271
430922,49.044774951076285,43.8265362035225,43.43303326810174,42.787318982387504,44.8190215264188,36.61416829745595
430923,43.24145324597977,37.62882668254912,37.81290450665081,38.550168751240854,39.41361921778833,30.281953543776066
430981,53.5029354207436,47.77432485322895,46.393111545988226,46.975499021526396,48.78442270058712,36.13338551859101
431002,39.71189617880314,37.85493871665464,38.135976928622924,34.07801009372748,32.88147080028837,27.197116077865896
431003,42.301369863013704,39.60892947742263,39.529071537290754,35.26768138001015,33.923490613901585,26.687366818873656
431021,40.93095890410958,38.33710806697106,38.46745814307456,35.03312024353118,35.20894977168949,29.547945205479483
431022,34.348962818003876,32.454011741683,34.08508806262233,30.83671232876712,27.931428571428572,23.704500978473575
431023,44.431173639392824,41.4960385042577,41.2034801925213,37.70114772306551,37.20977415771936,28.201554979637148
431024,39.6064464141821,36.80580177276391,37.511200644641434,33.96486704270745,33.07864625302175,28.429492344883165
431025,35.35528767123285,33.12526027397259,34.55846575342468,31.142575342465776,28.798465753424658,25.20876712328769
431026,30.961347649018887,28.88100703443169,31.32506479081821,28.55135135135135,24.43072935949648,19.207552758237696
431027,28.33556164383562,25.73326027397261,29.663561643835642,26.214356164383585,22.247232876712335,17.96646575342466
431028,43.59254794520545,40.64558904109587,40.77227397260275,37.786739726027385,37.129753424657544,28.357260273972628
431081,37.171199465419306,33.990177079853005,36.02966922819911,33.42439024390245,30.094353491480103,22.02024724356832
431102,39.03702544031312,34.669823874755394,34.53072407045011,34.5196086105675,35.06645792563603,29.939960861056733
431103,46.40065231572085,40.95655577299415,40.54390084801045,39.64487932159164,40.71728636660143,34.15081539465102
431121,44.61042432342134,39.92255262278649,39.929034413631825,38.80661543601739,40.25960574674238,33.435683260942206
431122,40.21621621621624,34.844057756386505,34.84502036282858,33.61510551647537,34.44938911514252,29.88678267308403
431123,36.93018117543089,33.10013256738846,33.435969951391954,33.21458241272646,33.20203269995581,27.899955810870527
